,FB_int,essai,num_sujet,MoyenneBeta,MoyenneERD,MedianeERD,MedianeBeta,StdDevBeta,mvtMoyCond,mvtMedianCond,StdDevMvt
179,2,3,3,36.7834375,1.83002176616915,1.5271144278607,30.695,24.4699624436975,0.128125,0,0.30639882822146
180,2,3,4,29.5853125,2.9884154040404,2.67979797979798,26.53,12.0089300064241,0,0,0
181,2,3,5,28.5846875,1.58803819444444,1.07611111111111,19.37,19.1183993432395,0.326875,0.05,0.379884850974608
182,2,3,6,19.1840625,0.609017857142857,0.598571428571429,18.855,4.86456566331897,0.754375,0.805,0.26289869875382
183,2,3,7,16.631875,0.527996031746032,0.51984126984127,16.375,4.46784673366084,0.8509375,0.96,0.189929687753975
184,2,3,8,34.98875,1.21488715277778,0.986284722222222,28.405,39.4702180702885,0.195,0.03,0.245185907083295
185,2,3,9,59.4196875,2.06318359375,0.896875,25.83,166.931734695013,0.2728125,0.205,0.28657301467852
186,2,3,10,40.33625,1.28051587301587,1.21952380952381,38.415,10.7278235624518,0.0471875,0,0.114757370274236
187,2,3,11,58.0315625,2.01498480902778,1.8109375,52.155,18.3045607060407,0,0,0
188,2,3,12,12.739375,1.66527777777778,1.39019607843137,10.635,6.19672542948186,0.0025,0,0.014142135623731
189,2,3,13,39.426875,2.13580037919827,1.79171180931744,33.075,19.6243996312523,0.0159375,0,0.0627262035588256
190,2,3,14,11.825,1.31388888888889,1.23388888888889,11.105,3.51084770574048,0.0134375,0,0.0490956521956489
191,2,3,15,46.7278125,2.88443287037037,2.37932098765432,38.545,28.1042509394386,0,0,0
192,2,3,16,15.54625,1.15157407407407,1.09703703703704,14.81,5.11381856566897,0.13,0,0.180536833879119
193,2,3,17,12.124375,1.34715277777778,1.23555555555556,11.12,4.18825310993775,0.0803125,0,0.17060583462019
194,2,3,18,117.26,10.0222222222222,1.95683760683761,22.895,513.222621091471,0.0190625,0,0.0705443980538086
195,2,3,19,19.77125,0.878722222222222,0.825555555555555,18.575,7.05653426311044,0.3815625,0.345,0.338765399602353
196,2,3,20,13.6475,0.891993464052288,0.890522875816993,13.625,3.44105666441893,0.3090625,0.215,0.318467695986731
197,2,3,21,20.715,1.43854166666667,1.62708333333333,23.43,11.9010479343411,0.3103125,0,0.402496117993702
198,2,3,22,49.050625,1.94645337301587,1.34424603174603,33.875,49.196373846014,0.023125,0,0.0743764400782242
199,2,3,23,10.2203125,0.709743923611111,0.609375,8.775,6.403849892649,0.6815625,0.78,0.307844843355618
200,2,3,24,2.9146875,0.539756944444444,0.514814814814815,2.78,0.718250492628644,0.853125,0.97,0.205652972653668
201,2,4,0,22.2490625,1.03967581775701,0.943457943925234,20.19,9.17005834553324,0.2271875,0.12,0.252985201339474
202,2,4,1,23.76625,1.75526218611521,1.49556868537666,20.25,11.5411655222903,0.011875,0,0.0503175400701354
203,2,4,2,5.32125,2.46354166666667,2.15277777777778,4.65,1.9538758008536,0,0,0
204,2,4,3,31.6703125,1.57563743781095,1.29129353233831,25.955,17.3613193501131,0.18375,0,0.349882468745554
205,2,4,4,29.8084375,3.01095328282828,2.77626262626263,27.485,7.81445893504986,0,0,0
206,2,4,5,54.89125,3.04951388888889,2.18694444444444,39.365,48.6067266518375,0.3509375,0.05,0.418671935429316
207,2,4,6,18.2046875,0.577926587301587,0.542222222222222,17.08,5.20504345020754,0.8125,0.92,0.250689372112825
208,2,4,7,17.124375,0.543630952380952,0.511428571428572,16.11,5.28674418833588,0.8190625,0.975,0.243752377986746
209,2,4,8,29.580625,1.02710503472222,1.00868055555556,29.05,8.59886636845699,0.228125,0.03,0.295323087154478
210,2,4,9,30.406875,1.05579427083333,0.988715277777778,28.475,12.9163633245685,0.2,0.04,0.264794503402654
211,2,4,10,39.2428125,1.24580357142857,1.22111111111111,38.465,11.0958598016514,0.0784375,0,0.158360743241499
212,2,4,11,81.8403125,2.84167751736111,2.61927083333333,75.435,34.6742439026689,0,0,0
213,2,4,12,10.095,1.31960784313725,1.26993464052288,9.715,2.09249503795612,0.0171875,0,0.0696180536003182
214,2,4,13,32.649375,1.76865520043337,1.56175514626219,28.83,17.7491130060068,0.0525,0,0.108091956073252
215,2,4,14,12.5528125,1.39475694444444,1.34722222222222,12.125,2.95468379878566,0.0109375,0,0.060073040220138
216,2,4,15,51.02875,3.14992283950617,2.30833333333333,37.395,27.1016000896507,0,0,0
217,2,4,16,15.4771875,1.14645833333333,1.08333333333333,14.625,6.11098916779198,0.2125,0,0.293070507865676
